cod6;nome;Esperança de vida ao nascer 2010;Mortalidade infantil 2010;Mortalidade até 5 anos de idade 2010;IDHM 2010;Taxa de envelhecimento 2010;População em domicílios vulneráveis e com idoso 2010;Renda per capita 2010
150600;Prainha;71.76;21.9;23.56;0.523;3.85;2730;193.32
150610;Primavera;71.3;23.1;24.89;0.577;7.79;982;279.74
150610;Primavera;71.03;23.9;25.77;0.58;5.95;861;281.27
150611;Quatipuru;68.89;30.4;32.65;0.543;6.3;1089;244.9
150616;Rio Maria;73.23;18.1;19.54;0.638;5.41;817;460.83
150618;Rondon do Pará;72.29;20.5;22.05;0.602;4.5;2722;346.74
150619;Rurópolis;70.86;24.4;26.23;0.548;3.76;2454;242.49
150620;Salinópolis;72.87;19;20.49;0.647;5.18;2543;398.58
150630;Salvaterra;72.6;19.7;21.2;0.608;5.99;1563;296.28
150635;Santa Bárbara do Pará;72.06;21.1;22.7;0.627;5.04;930;287.25
150640;Santa Cruz do Arari;71.51;22.5;24.26;0.557;5.06;1721;161.13
150655;Santa Luzia do Pará;68.41;31.9;34.36;0.546;5.72;2018;217.11
150658;Santa Maria das Barreiras;72;21.2;22.87;0.544;4.84;905;253.55
150660;Santa Maria do Pará;70.85;24.4;26.23;0.598;6.29;1423;323.98
150670;Santana do Araguaia;71.43;22.8;24.51;0.602;2.88;2776;316.81
150680;Santarém;73.44;17.91;19.23;0.691;5.38;20684;409.07
150680;Santarém;70.91;24.7;26.62;0.622;9.83;275;249.67
150690;Santarém Novo;71.42;22.8;24.53;0.587;6.12;592;203
150700;Santo Antônio do Tauá;70.18;26.3;28.33;0.632;5.81;2015;331.12
150710;São Caetano de Odivelas;71.01;23.9;25.78;0.585;6.67;1459;247.8
150715;São Domingos do Araguaia;69.25;29.2;31.41;0.594;5.97;1816;400.66
150720;São Domingos do Capim;71.38;22.9;24.65;0.532;4.8;3035;189.39
150730;São Félix do Xingu;72.87;19;20.47;0.594;2.36;2692;423.85
150740;São Francisco do Pará;72.08;21;22.63;0.608;6.91;1172;279.19
150745;São Geraldo do Araguaia;72.55;19.8;21.33;0.595;5.41;1809;322.95
150746;São João da Ponta;71;24;25.79;0.583;7.48;532;206.18
150747;São João de Pirabas;70.18;26.3;28.34;0.539;7.01;2873;215.54
150750;São João do Araguaia;69.47;28.5;30.66;0.55;5.02;1192;216.86
150760;São Miguel do Guamá;70.1;26.6;28.59;0.591;5.29;3754;299.95
150770;São Sebastião da Boa Vista;70.62;25;26.95;0.558;4.75;2152;202.85
150775;Sapucaia;72.52;19.9;21.42;0.59;3.61;104;426.86
150775;Sapucaia;73.26;16.6;18.68;0.675;8.87;616;558.94
150780;Senador José Porfírio;70.24;26.2;28.16;0.514;3.14;1218;219.97
150790;Soure;70.57;25.2;27.1;0.615;6.23;2980;300.59
150795;Tailândia;71.58;22.3;24.07;0.588;2.38;5137;300.85
150796;Terra Alta;69.59;28.1;30.28;0.605;6.69;1038;252.51
150797;Terra Santa;70.76;24.6;26.54;0.635;5.55;1858;338.44
150803;Tracuateua;71.57;22.4;24.11;0.531;5.57;2497;195.97
150805;Trairão;70.8;24.5;26.4;0.562;3.06;698;322.61
150808;Tucumã;73.76;16.9;18.19;0.659;3.75;1138;517.86
150810;Tucuruí;73;18.35;19.81;0.666;3.43;3422;534.02
150812;Ulianópolis;70.55;25.3;27.18;0.604;2.13;2043;558.72
150815;Uruará;72.87;19;20.49;0.589;3.7;2151;353.67
150820;Vigia;71.06;23.8;25.61;0.617;5.97;3940;323.12
150830;Viseu;71.57;22.4;24.1;0.515;4.78;5784;160.09
150835;Vitória do Xingu;72.49;20;21.51;0.596;4.29;1129;323.18
150840;Xinguara;73.02;18.6;20.08;0.646;4.19;1505;520.57
160005;Serra do Navio;71.97;19.4;20.63;0.709;2.99;210;484.63
160010;Amapá;72.4;18.3;19.52;0.642;4.11;640;406.9
160015;Pedra Branca do Amapari;71.73;20;21.26;0.626;3.15;493;397.98
160021;Cutias;70.58;23;24.45;0.628;3.05;364;287.41
160023;Ferreira Gomes;74.2;14.3;15.26;0.656;3.71;327;416.72
160025;Itaubal;70.46;23.3;24.8;0.576;3.68;329;213.26
160027;Laranjal do Jari;73.06;16.8;17.89;0.665;2.88;1505;432.92
160030;Macapá;74.19;14.04;15.38;0.733;3.48;14222;717.88
160040;Mazagão;70.46;23.3;24.8;0.592;4.12;1068;353.61
160050;Oiapoque;71.71;20;21.31;0.658;2.04;935;598.38
160053;Porto Grande;71.62;20.2;21.54;0.64;3.39;1059;356.65
160055;Pracuúba;72.4;18.3;19.52;0.614;3.19;266;228.81
160060;Santana;72.65;17.7;18.88;0.692;3.74;7704;469.24
160060;Santana;71.58;22.8;24.63;0.608;9.74;1786;304.18
160070;Tartarugalzinho;72.63;17.8;18.94;0.592;3.59;885;250.2
160080;Vitória do Jari;71.88;19.6;20.85;0.619;3.15;905;309.39
170025;Abreulândia;75.12;13.7;14.76;0.665;5.98;122;624.03
170030;Aguiarnópolis;73.21;18;19.32;0.657;5.02;282;374.27
170035;Aliança do Tocantins;73.04;18.4;19.78;0.663;8.36;324;357.08
170040;Almas;72.74;19.1;20.54;0.636;6.83;575;369.39
170070;Alvorada;77.41;9.77;11.36;0.699;5.67;2836;600.48
170070;Alvorada;75.55;12.9;13.84;0.708;7.22;342;539.26
170100;Ananás;73.23;17.9;19.28;0.671;6.71;612;380.36
170105;Angico;71.37;22.7;24.39;0.648;7.97;280;288.86
170110;Aparecida do Rio Negro;72.48;19.8;21.24;0.651;7.55;280;320.54
170130;Aragominas;69.36;28.5;30.66;0.593;6.68;323;357.45
170190;Araguacema;73.29;17.8;19.12;0.639;6.7;452;308.94
170210;Araguaína;74.23;13.06;14.04;0.752;5.06;4893;737.63
170215;Araguanã;67.34;38.6;42.01;0.533;5.24;2180;161.57
170215;Araguanã;70.37;25.5;27.41;0.604;6.02;422;372.96
170220;Araguatins;72.56;19.6;21.04;0.631;6.21;2483;342.07
170230;Arapoema;73.59;17.1;18.37;0.68;6.26;413;442.33
170240;Arraias;74.73;14.5;15.64;0.651;7.98;736;418.64
170255;Augustinópolis;72.56;19.6;21.04;0.67;6.07;1251;364.32
170270;Aurora do Tocantins;73.23;17.9;19.27;0.677;8.94;208;535.8
170290;Axixá do Tocantins;69;29.7;31.91;0.627;7.17;660;324.56
170305;Bandeirantes do Tocantins;72.79;19;20.44;0.638;5.54;234;278
170307;Barra do Ouro;70.6;24.8;26.69;0.603;6.35;294;256.28
170310;Barrolândia;73.99;16.2;17.38;0.642;6.81;352;335.26
170320;Bernardo Sayão;69.9;26.9;28.9;0.638;5.79;158;347.03
170360;Brasilândia do Tocantins;74.84;14.3;15.4;0.684;7.7;75;428.48
170370;Brejinho de Nazaré;74.2;15.7;16.89;0.686;8.52;477;414.87
170380;Buriti do Tocantins;67.76;33.8;36.32;0.627;5.84;1350;287.05
170382;Cachoeirinha;70.18;26.4;28.42;0.579;10.43;1190;308.18
170382;Cachoeirinha;76.42;11.6;13.09;0.757;7.06;1672;844.04
170382;Cachoeirinha;70.7;24.6;26.38;0.627;6.38;106;241.7
170384;Campos Lindos;69.25;28.9;31.04;0.544;3.99;545;292.64
170386;Cariri do Tocantins;74.55;14.9;16.07;0.662;6.74;167;425.49
170388;Carmolândia;73.59;17.1;18.37;0.64;5.53;114;382.31
170389;Carrasco Bonito;68.69;30.7;32.99;0.594;5.37;264;234.45
170390;Caseara;74.51;15;16.14;0.658;5.74;318;447.52
170410;Centenário;76.36;11;12.84;0.701;13.86;125;651.77
170410;Centenário;66.97;36.6;39.34;0.569;7.4;295;280.17
170460;Chapada de Areia;68.58;31;33.35;0.619;8.09;47;376.48
170510;Chapada da Natividade;73.84;16.5;17.75;0.62;7.78;290;315.34
170550;Colinas do Tocantins;73.85;16.5;17.72;0.701;6.07;1485;587.11
